STT,Khoản mục BCTC,Báo cáo,"Giải thích, ý nghĩa, ví dụ",Phương thức kiểm tra / điều kiện đảm bảo,Mẫu kiểm toán,Bằng chứng,Loại sai sót cơ bản / thường gặp / nâng cao,Cách khắc phục,Mức độ (Trọng yếu/Không trọng yếu)
34,"Thiết bị, phụ tùng thay thế DH (Mã 263)",B01 – TS dài hạn,"Phụ tùng dự trữ >12 tháng, không đủ chuẩn TSCĐ.",Tách khỏi 141; NRV/DP; hiện hữu.,Mẫu kiểm kê phụ tùng lớn.,Thẻ kho; BB kiểm kê; DP.,Để nhầm 141; không DP hàng hỏng.,Tái PL; DP.,TW-Thấp đến TB
35,Tổng cộng tài sản (Mã 270),B01 – BCĐKT,Tổng TS = Tổng nguồn vốn (440).,Cộng kiểm; 270=440; số đầu năm nhất quán.,N/A (KS tổng).,Bảng CĐKT; sổ cái.,Lệch 270≠440; sai số đầu năm.,Tìm & ĐC sai sót chi tiết.,TW-Cao nếu lệch
36,Phải trả người bán NH (Mã 311),B01 – Nợ ngắn hạn,Nợ NCC ≤12 tháng. Assertion ưu tiên: Đầy đủ & Cut-off.,Sổ 331; thư XN NCC; search unrecorded liabilities; BB ĐC công nợ.,Key NCC; NCC GD lớn SD=0; mẫu; 100% HĐ sau khóa sổ liên quan kỳ trước.,Thư NCC; HĐ; BB nhận hàng; nhật ký CT sau kỳ.,Cơ bản: sai SD. Thường gặp: thiếu cut-off mua hàng. Nâng cao: cố ý không ghi mua hàng cuối kỳ.,Ghi đủ nợ+tồn/CP; ĐC LN.,TW-Cao
37,Người mua trả tiền trước NH (Mã 312),B01 – Nợ ngắn hạn,Khách ứng trước mua HH/DV ≤12 tháng.,HĐ; tiến độ giao; khoản treo dài → hoàn tiền hoặc ghi DT sai.,Key items; lớn quá hạn giao.,HĐ; UNC thu; BB giao hàng.,Thường gặp: ghi DT khi chưa chuyển giao. Nâng cao: ứng trước vòng tròn tạo tiền giả.,Giữ 312 hoặc ghi DT đúng ĐK.,TW-TB
38,Thuế và khoản phải nộp NSNN (Mã 313),B01 – Nợ ngắn hạn,"GTGT, TNDN, TNCN, phí… còn phải nộp.",ĐC tờ khai vs 333; quyết toán; tranh chấp → DP/TM.,100% loại thuế TW.,Tờ khai; giấy nộp; BB thanh tra; thư CQT.,Cơ bản: lệch kê khai. Thường gặp: thiếu thuế T12. Nâng cao: che tranh chấp thuế.,Bổ sung phải nộp & CP thuế; TM nợ tiềm tàng.,TW-Cao
39,Phải trả người lao động (Mã 314),B01 – Nợ ngắn hạn,"Lương, thưởng còn phải trả.",Bảng lương; BHXH; trích trước T12; ĐC 334.,Tháng khóa sổ + tháng thưởng; mẫu.,Bảng lương; phiếu chi; BC BHXH.,Thường gặp: thiếu lương/thưởng cuối năm. Nâng cao: quỹ lương ngoài sổ.,Trích đủ CP & phải trả.,TW-TB
40,Chi phí phải trả NH (Mã 315),B01 – Nợ ngắn hạn,Đã nhận HH/DV hoặc chắc chắn PS nhưng chưa HĐ; lãi vay trích trước. Rủi ro 2 chiều.,Tính lại lãi vay; HĐ; CT sau kỳ; ước tính thấp/cao.,100% lãi vay; key trích trước.,HĐ vay; bảng lãi; HĐ DV; CT sau kỳ.,Cơ bản: sai lãi. Thường gặp: thiếu trích. Nâng cao: cookie jar hoặc không trích tăng LN.,ĐC trích/hoàn nhập có căn cứ.,TW-Cao
41,Phải trả nội bộ NH (Mã 316),B01 – Nợ ngắn hạn,Phải trả nội bộ ≤12 tháng (ngoài vốn KD).,ĐC 2 chiều; bù trừ tổng hợp.,100%.,Bảng ĐC nội bộ.,Không bù trừ; lệch số.,Bù trừ/ĐC.,TW-TB
42,Phải trả theo tiến độ HĐXD (Mã 317),B01 – Nợ ngắn hạn,Khách phải trả theo tiến độ > DT đã ghi lũy kế.,HĐ; tiến độ; DT đã ghi; nhất quán 134.,100% HĐ TW.,HĐ; lịch TT; bảng DT.,Sai tiến độ; không khớp DT.,ĐC 317/DT/134.,TW-TB
43,Doanh thu chưa thực hiện NH (Mã 318),B01 – Nợ ngắn hạn,"Đã thu/ghi trước nhưng nghĩa vụ còn ≤12 tháng. VD: học phí, bảo trì.",ĐK phân bổ DT; lịch nghĩa vụ; không ghi DT sớm.,100% HĐ lớn; mẫu PB.,HĐ; bảng PB DT; CT thu.,Thường gặp: PB DT sớm. Nâng cao: chuyển hết vào DT đạt KPI.,Đưa lại 318; giảm DT.,TW-TB đến Cao
44,Phải trả ngắn hạn khác (Mã 319),B01 – Nợ ngắn hạn,"BHXH, KPCĐ, nhận ký quỹ NH…",Chi tiết 338/344; ĐC BHXH; ký quỹ.,Key items.,BC BHXH; HĐ ký quỹ.,Thiếu BHXH; khoản khác không giải thích.,Ghi đủ; tái PL.,TW-Thấp đến TB
45,Vay và nợ thuê TC ngắn hạn (Mã 320),B01 – Nợ ngắn hạn,Vay/nợ thuê ≤12 tháng (gồm phần DH đến hạn).,"Thư XN NH; dư nợ, LS, TSĐB, covenant; tái PL từ 338; lãi đủ.",100% khoản vay.,Thư XN; HĐTD; lịch trả nợ; UNC.,Cơ bản: sai SD. Thường gặp: không chuyển đến hạn. Nâng cao: vay ngoài sổ; đảo nợ; giấu vi phạm covenant.,Tái PL; ghi đủ lãi; TM TSĐB & covenant.,TW-Cao + Định tính
46,Dự phòng phải trả NH (Mã 321),B01 – Nợ ngắn hạn,"Bảo hành, tái cơ cấu, hoàn nguyên, kiện tụng… ≤12 tháng.",Nghĩa vụ hiện tại? ước tính tin cậy? VAS 18; lịch sử BH.,100% ước tính TW.,CS BH; thống kê đổi trả; thư luật sư.,Thường gặp: không lập khi có nghĩa vụ. Nâng cao: big bath / không lập tăng LN.,Lập/ĐC DP & CP; TM.,TW-Cao
47,"Quỹ khen thưởng, phúc lợi (Mã 322)",B01 – Nợ ngắn hạn,Quỹ KT-PL chưa dùng (trích LNST).,NQ trích; nguồn hợp lệ; chi đúng mục đích.,100% biến động kỳ.,NQ ĐHĐCĐ/HĐQT; CT chi quỹ.,Trích vượt/sai nguồn; chi sai.,ĐC trích/chi.,TW-Thấp đến TB
48,Quỹ bình ổn giá (Mã 323),B01 – Nợ ngắn hạn,Theo quy định ngành (xăng dầu…).,ĐC quy chế ngành & SD 357.,100% nếu PS.,VB pháp lý ngành; sổ quỹ.,Trích/SD sai quy định.,ĐC theo chế độ.,TW-TB (nếu ngành áp dụng)
49,Phải trả người bán dài hạn (Mã 331),B01 – Nợ dài hạn,Nợ NCC >12 tháng.,Như 311 + kỳ hạn; tái PL phần đến hạn.,Key items.,HĐ; XN.,Không tách phần đến hạn.,Tái PL sang 311.,TW-TB
50,Người mua trả tiền trước DH (Mã 332),B01 – Nợ dài hạn,Ứng trước nghĩa vụ >12 tháng (vd. đặt chỗ BĐS).,HĐ; tiến độ; rủi ro ghi DT sớm.,100% dự án/HĐ lớn.,HĐ; lịch bàn giao.,Ghi DT khi chưa đủ ĐK.,Giữ 332 hoặc ghi DT đúng chuẩn.,TW-TB đến Cao
51,Chi phí phải trả dài hạn (Mã 333),B01 – Nợ dài hạn,Trích trước thanh toán >12 tháng (vd. lãi trả khi đáo hạn).,Tính lại; HĐ; tách NH/DH.,100% lãi/trích lớn.,HĐ vay; bảng tính.,Thiếu trích hoặc nhầm kỳ hạn.,Bổ sung/tái PL.,TW-TB
52,Phải trả nội bộ về vốn KD (Mã 334),B01 (đơn vị phụ thuộc),Vốn nhận từ cấp trên.,ĐC 213 cấp trên; bù trừ tổng hợp.,100%.,QĐ giao vốn; sổ 3361.,Không bù trừ.,Bù trừ đúng TT200.,TW-TB
53,Doanh thu chưa thực hiện DH (Mã 336),B01 – Nợ dài hạn,Nghĩa vụ thực hiện sau >12 tháng.,Lịch PB dài hạn; không chuyển hết sang DT.,HĐ dài hạn TW.,HĐ; bảng PB.,PB sớm.,ĐC về 336/318.,TW-TB
54,Phải trả dài hạn khác (Mã 337),B01 – Nợ dài hạn,"Ký quỹ nhận DH, CL bán trả chậm…",Bản chất; kỳ hạn; TM.,Key items.,HĐ; chứng từ.,Khoản khác mập mờ.,Tái PL/TM.,TW-Thấp đến TB
55,Vay và nợ thuê TC dài hạn (Mã 338),B01 – Nợ dài hạn,Vay/TP thường/nợ thuê còn hạn >12 tháng.,XN 100%; covenant; TSĐB; tách đến hạn→320; CK/PT trái phiếu.,100% vay/TP.,Thư NH; HĐTD; HĐ thuê; lịch trả.,Thường gặp: không tái PL đến hạn. Nâng cao: off-balance; giấu covenant; evergreen.,Tái PL; TM đầy đủ; xét HĐLK nếu vi phạm.,TW-Cao + Định tính
56,Trái phiếu chuyển đổi (339) & Quyền chọn (413),B01 – Nợ DH / Vốn,Phần nợ gốc TP CĐ; phần vốn ở 413.,Tách cấu phần nợ/vốn; tính lại PB.,100% đợt PH.,Phương án PH; HĐ; bảng tách.,Không tách phần vốn; sai PB lãi.,ĐC 339/413/CP lãi.,TW-TB
57,Cổ phiếu ưu đãi phân loại nợ (Mã 340),B01 – Nợ dài hạn,CPƯĐ bắt buộc mua lại → bản chất nợ.,Đọc ĐK bắt buộc mua lại; PL đúng nợ vs vốn 411b.,100%.,Điều lệ; phương án PH.,Xếp vào vốn làm đẹp đòn bẩy.,Chuyển sang nợ; TM.,TW-Cao (phân loại)
58,Thuế TNDN hoãn lại phải trả (Mã 341),B01 – Nợ dài hạn,Thuế hoãn lại từ CL tạm thời chịu thuế.,Bảng CL TT; thuế suất; bù trừ DTA khi đủ ĐK.,100%.,Tax bridge; bảng DTL.,Thiếu DTL; bù trừ sai.,ĐC 341 & 52.,TW-TB
59,Dự phòng phải trả DH (Mã 342),B01 – Nợ dài hạn,DP BH/hoàn nguyên… >12 tháng.,Như 321; tách kỳ hạn.,Khoản TW.,Thư luật sư; mô hình ước tính.,Không lập/lập quá tay.,ĐC DP.,TW-TB đến Cao
60,Quỹ PT KH&CN (Mã 343),B01 – Nợ dài hạn,Quỹ KHCN chưa sử dụng.,Chế độ trích/SD.,Biến động kỳ.,QĐ trích; CT chi.,Trích/chi sai.,ĐC theo chế độ.,TW-Thấp đến TB
61,"Vốn góp của chủ sở hữu (411, 411a, 411b)",B01 – Vốn CSH,Vốn thực góp; CTCP theo mệnh giá.,ĐKDN; sổ CĐ; tiền/TS thực góp; định giá TS góp.,100% biến động vốn kỳ.,ĐKDN; UNC góp vốn; BB định giá; sổ CĐ.,Cơ bản: sai mệnh giá. Thường gặp: ghi vốn chưa góp đủ. Nâng cao: góp vốn ảo/rút vốn; thổi giá TS góp.,ĐC vốn & TS; TM; xét tuân thủ LDN.,TW-Cao + Định tính
62,Thặng dư vốn cổ phần (Mã 412),B01 – Vốn CSH,CL giá PH vs mệnh giá; CP phát hành.,ĐC phương án PH; CT thu; hạch toán CP PH.,100% đợt PH.,NQ PH; UNC; HĐ tư vấn.,Sai thặng dư; đưa nhầm vào LN.,ĐC 412/vốn/LN.,TW-TB
63,Cổ phiếu quỹ (Mã 415),B01 – Vốn CSH,CP mua lại (ghi âm).,QĐ mua lại; giá mua; ĐK mua CP quỹ.,100%.,NQ; CT giao dịch.,Ghi sai giá/ĐK.,ĐC theo giá mua & TM.,TW-TB
64,CL đánh giá lại TS (416) & CL tỷ giá (417),B01 – Vốn CSH,CL ĐG lại khi PL cho phép; CL TG đặc thù/chuyển đổi BCTC.,Căn cứ PL ĐG lại; tỷ giá CĐ; không dùng tùy tiện tăng vốn.,100% PS.,BB định giá; VB cho phép; bảng CĐ.,ĐG lại không căn cứ; đảo CL TG sai.,Đảo BT/TM đúng.,TW-TB + Định tính
65,"Quỹ ĐTPT (418), quỹ khác (420)",B01 – Vốn CSH,Trích từ LNST theo NQ.,NQ; tỷ lệ trích; SD còn lại.,Biến động kỳ.,NQ ĐHĐCĐ; sổ quỹ.,Trích vượt LN có thể PP.,ĐC quỹ ↔ 421.,TW-Thấp đến TB
